born,name,role
1838,汤金兰,昆曲旦角
1841,孙菊仙,京剧老生
1842,陈寿峰,昆曲文武老生
1850,周长顺,京剧武旦
1854,贾祥瑞,京剧琴师
1855,张芷荃,京剧青衣
1855,陈五儿,京剧武旦
1862,钱金福,京剧武净
1863,李寿峰,京剧老生
1877,路三宝,京剧花旦
1886,金仲仁,京剧小生
1892,朱幼芬,京剧青衣
1892,侯喜瑞,京剧净角
1898,孙甫亭,京剧老旦
1899,刘同武,山东快书演员
1900,白家麟,京剧文武老生
1901,马连良,京剧老生
1905,福芝芳,京剧旦角
1906,樊粹庭,豫剧导演
1906,张古愚,京剧史论
1907,耿少峰,京剧琴师
1911,王泉奎,京剧净角
1912,醉丽君,京剧旦角
1912,杨秋雯,京剧旦角
1912,李丹林,京剧旦角
1913,黄益安,京剧武生
1914,苏盛琴,京剧琴师
1915,李正敏,秦腔旦角
1916,袁世海,京剧净角
1917,梁少垣,京剧鼓师
1918,史若虚,戏曲教育家
1919,丁至云,京剧旦角
1919,王熙春,京剧旦角
1920,汪曾祺,戏曲作家
1920,周宝奎,越剧老旦
1921,乔志良,黄梅戏导演
1922,胡沙,戏剧剧作家
1922,李和曾,京剧老生
1923,马飞,潮剧导演
1923,孙正华,京剧老生
1923,庞贵生,八角鼓票友
1924,袁金凯,京剧武生
1926,筱高雪樵,京剧武生
1927,陆锦花,越剧小生
1927,王震,京剧演员
1929,高韵笙,京剧武生
1931,闻占萍,京剧旦角
1932,王紫苓,京剧旦角
1933,李宝琴,泗州戏旦角
1933,赵俊良,曲艺演员
1936,朱福侠,京剧小生
1939,丁震春,京剧武生
1946,沈长春,京剧老生
1948,尚慧敏,京剧旦角
1950,常贵德,相声演员
1961,杨赤,京剧净角
1963,陈学欣,京剧票友
1966,李胜素,京剧旦角
1966,张秀党,豫剧旦角
1966,常春生,京剧净角
1970,康云翔,京剧武生
1971,李欣,昆曲老生
1972,李洁,京剧旦角
1972,刘建杰,京剧老生
1978,宋昊宇,京剧老生
1978,王珮瑜,京剧老生
1981,丁晓君,京剧青衣
1985,逗笑,相声演员
1802,余三胜,京剧老生
1834,陈兰,昆曲小生
1852,沈小宝,昆曲小生
1852,陈四儿,京剧老生
1858,李经畲,京剧票友
1860,张紫仙,昆曲旦角
1860,郑双福,京剧花旦
1869,苏雨卿,京剧青衣
1874,程继先,京剧小生
1881,杨孝亭,京剧花旦
1884,张文斌,京剧丑角
1890,姜妙香,京剧小生
1894,刘砚芳,京剧老生
1896,姚玉芙,京剧青衣
1898,田汉,戏曲作家
1898,韩世昌,昆曲旦角
1904,薛觉先,粤剧演员
1906,程玉菁,京剧旦角
1910,王玉山,晋剧旦角
1915,韩俊卿,河北梆子旦角
1916,高元钧,山东快书演员
1916,张洪祥,京剧净角
1917,郭荣起,相声演员
1919,张鑫海,京剧鼓师
1920,白奉霖,曲艺音乐家
1920,袁韵宜,京剧剧作家
1921,邢竹琴,越剧旦角
1922,王世臣,相声演员
1922,袁雪芬,越剧旦角
1924,王世霞,京剧小生
1924,刘元彤,京剧旦角
1924,章宗义,绍剧武生
1927,熊志麟,京剧丑角
1927,李桐春,京剧武生
1928,程正泰,京剧老生
1928,赵燕侠,京剧旦角
1928,赵丽蓉,评剧旦角
1931,崔兰玉,豫剧旦角
1932,王玉琴,秦腔旦角
1934,梅葆玖,京剧旦角
1935,丁宝祥,相声演员
1935,童祥苓,京剧老生
1935,张南云,京剧旦角
1936,陆松龄,京剧琴师
1941,华文漪,昆曲闺门旦
1945,耿慧敏,京剧琴师
1949,马莉莉,沪剧旦角
1949,石富宽,相声演员
1953,叶景林,评书演员
1958,刘正辉,京剧琴师
1958,奚中路,京剧武生
1960,裴永利,京剧鼓师
1825,钱金福,昆曲正旦
1847,谭鑫培,京剧老生
1860,姜双喜,京剧青衣
1860,孟金喜,京剧花旦
1861,刘喜儿,京剧老生
