born,name,role_x,death
1841,孙菊仙,京剧老生,1931
1842,陈寿峰,昆曲文武老生,1904
1854,贾祥瑞,京剧琴师,1888
1862,钱金福,京剧武净,1937
1825,钱金福,昆曲正旦,1937
1863,李寿峰,京剧老生,1918
1877,路三宝,京剧花旦,1918
1892,朱幼芬,京剧青衣,1933
1892,侯喜瑞,京剧净角,1983
1900,白家麟,京剧文武老生,1959
1901,马连良,京剧老生,1966
1905,福芝芳,京剧旦角,1980
1906,张古愚,京剧史论,2008
1911,王泉奎,京剧净角,1987
1912,醉丽君,京剧旦角,1993
1912,杨秋雯,京剧旦角,2006
1912,李丹林,京剧旦角,2007
1913,黄益安,京剧武生,1986
1914,苏盛琴,京剧琴师,2005
1915,李正敏,秦腔旦角,1973
1916,袁世海,京剧净角,2002
1917,梁少垣,京剧鼓师,2011
1918,史若虚,戏曲教育家,1983
1919,丁至云,京剧旦角,1989
1919,王熙春,京剧旦角,2006
1920,汪曾祺,戏曲作家,1997
1920,周宝奎,越剧老旦,2016
1921,乔志良,黄梅戏导演,2008
1922,胡沙,戏剧剧作家,2005
1922,李和曾,京剧老生,2001
1923,马飞,潮剧导演,1989
1923,庞贵生,八角鼓票友,2001
1924,袁金凯,京剧武生,1984
1926,筱高雪樵,京剧武生,2010
1933,李宝琴,泗州戏旦角,2015
1933,赵俊良,曲艺演员,2014
1936,朱福侠,京剧小生,2006
1939,丁震春,京剧武生,2011
1950,常贵德,相声演员,2015
1802,余三胜,京剧老生,1866
1860,张紫仙,昆曲旦角,1921
1869,苏雨卿,京剧青衣,1941
1874,程继先,京剧小生,1942
1881,杨孝亭,京剧花旦,1923
1884,张文斌,京剧丑角,1922
1890,姜妙香,京剧小生,1972
1894,刘砚芳,京剧老生,1963
1898,田汉,戏曲作家,1968
1898,韩世昌,昆曲旦角,1976
1904,薛觉先,粤剧演员,1956
1906,程玉菁,京剧旦角,1995
1910,王玉山,晋剧旦角,1968
1915,韩俊卿,河北梆子旦角,1966
1916,高元钧,山东快书演员,1993
1916,张洪祥,京剧净角,2007
1917,郭荣起,相声演员,1999
1919,张鑫海,京剧鼓师,2010
1920,白奉霖,曲艺音乐家,2015
1920,袁韵宜,京剧剧作家,2004
1921,邢竹琴,越剧旦角,2007
1922,王世臣,相声演员,2001
1922,袁雪芬,越剧旦角,2011
1924,王世霞,京剧小生,2012
1924,刘元彤,京剧旦角,1997
1924,章宗义,绍剧武生,2014
1927,熊志麟,京剧丑角,2015
1927,李桐春,京剧武生,2014
1928,程正泰,京剧老生,2000
1928,赵丽蓉,评剧旦角,2000
1931,崔兰玉,豫剧旦角,2016
1932,王玉琴,秦腔旦角,2009
1934,梅葆玖,京剧旦角,2016
1935,丁宝祥,相声演员,2014
1936,陆松龄,京剧琴师,2009
1945,耿慧敏,京剧琴师,2012
1953,叶景林,评书演员,2001
1847,谭鑫培,京剧老生,1917
1864,茹莱卿,京剧武生,1923
1866,李寿山,京剧净角,1932
1875,叶春善,京剧教育家,1935
1900,马师曾,粤剧丑生,1964
1907,宋富亭,京剧武净,1994
1913,马宗慧,京剧旦角,2003
1914,潘侠风,京剧研究者,1993
1914,贯盛习,京剧老生,1991
1917,吴祖光,戏剧剧作者,2003
1918,陈素真,豫剧旦角,1994
1918,迟世恭,京剧老生,1998
1919,阎世善,京剧武旦,2007
1922,刘雪涛,京剧小生,2011
1923,刘洪元,单弦名票,2002
1924,邹忠新,金钱板演员,2013
1930,严凤英,黄梅戏旦角,1968
1931,蒋健兰,戏曲研究者,2005
1933,宋桂玲,豫剧旦角,1999
1944,孙镇业,山东快书演员,2010
1845,程章圃,京剧鼓师,1889
1859,王楞仙,京剧小生,1908
1860,朱文英,京剧武旦,1929
1887,王琴侬,京剧青衣,1933
1889,欧阳予倩,京剧旦角,1962
1890,高庆奎,京剧老生,1942
1891,诸茹香,京剧花旦,1974
1898,李洪春,京剧红生,1990
1906,黄桂秋,京剧旦角,1978
1916,刘阔漳,评书演员,1987
1917,唐涤生,粤剧编剧,1959
1919,阎世喜,京剧丑角,1998
1921,李斯忠,豫剧净角,1996
1923,张筱贤,京剧老生,2007
1923,王盘声,沪剧老生,2016
1928,厉慧兰,京剧老生,1990
1931,尹少桐,京剧丑角,2012
1933,李世济,京剧青衣,2016
1933,吴碧波,豫剧旦角,2013
1938,苏敬武,京剧净角,2009
1941,白英杰,相声演员,2013
1946,白云峰,粤剧武生,2009
1963,何恕,京剧票友,2014
1866,冯蕙林,京剧小生,1941
1886,郝寿臣,京剧净角,1961
1897,李佩卿,京剧旦角,1931
1905,汪润泉,滇剧小生,1947
1906,王华运,湘剧小生,2008
1907,马彦祥,戏曲导演,1988
1908,翁偶虹,京剧编剧,1994
1909,侯佑宗,京剧鼓师,1992
1911,陈少霖,京剧老生,1967
1912,罗品超,粤剧文武生演员,2010
1914,郑亦秋,京剧老生,1994
1916,新马师曾,粤剧文武生,1997
1917,王玉田,京剧净角,2016
1920,张金梁,京剧丑角,2012
1923,谭世秀,京剧鼓师,1999
1925,郑盛芗,京剧小生,2007
1927,范克峻,秦腔理论家,2010
1935,陈正柱,京剧丑角,2014
1944,招石文,粤剧武生,2015
1955,黄小秋,京剧旦角,2005
1962,王平,相声演员,2013
1963,张德武,相声演员,2016
1817,刘赶三,京剧丑角,1894
