death,name,role
1917,姚增禄,京剧武老生
1918,双阔亭,京剧老生
1919,王怀卿,京剧武生
1921,刘鸿声,京剧老生
1922,刘顺,京剧鼓师
1925,陈荣会,昆曲老生
1931,琴雪芳,京剧花旦
1931,王长林,京剧丑角
1933,王琴侬,京剧青衣
1938,杨小楼,京剧武生
1938,王又宸,京剧老生
1942,马樟花,越剧小生
1943,时慧宝,京剧老生
1944,乔清秀,河南坠子演员
1944,范宝亭,京剧武净
1958,程砚秋,京剧旦角
1965,李海泉,粤剧丑生
1971,白玉昆,京剧生角
1974,白驹荣,粤剧小生
1975,焦菊隐,京剧教师
1975,周信芳,京剧老生
1979,蔡宝华,京剧武生
1980,张仲翰,京剧票友
1982,李德才,四川扬琴演员
1983,侯喜瑞,京剧净角
1984,阳友鹤,川剧旦角
1986,刘传蘅,昆曲旦角
1986,于世德,相声演员
1989,高盛麟,京剧武生
1990,周传沧,昆曲丑角
1990,刘木铎,京剧生角
1992,靓次伯,粤剧武生
1993,尚长春,京剧武生
1993,侯宝林,相声演员
1993,潘侠风,京剧研究者
1994,李宗义,京剧老生
1995,程之,京剧票友
1995,厉慧良,京剧武生
1996,肖若兰,秦腔旦角
1997,喜彩莲,评剧旦角
1997,包传铎,昆曲老生
1999,郭荣起,相声演员
1999,魏龙豪,相声演员
2000,袁凤霞,评剧小生
2000,殷元和,京剧演员
2000,尹桂芳,越剧小生
2001,庄一拂,昆曲度曲家
2002,高英培,相声演员
2002,李鸣盛,京剧老生
2003,范成玉,京剧净角
2003,马三立,相声演员
2004,何叫天,淮剧演员
2004,侯莉君,苏州弹词演员
2005,杨志淳,相声演员
2005,于世猷,相声演员
2006,尹月樵,京剧老生
2006,王选,戏曲研究家
2006,张娴,昆曲旦角
2006,陈永玲,京剧旦角
2006,李战,豫剧教师
2006,林鑫涛,京剧琴师
2006,俞八妹,京剧老旦
2006,汪景寿,相声理论家
2007,李喜鸿,京剧旦角
2007,张洪祥,京剧净角
2007,朱璧金,昆曲作曲家
2007,万智卿,沪剧作曲家
2008,夏冬生,评书演员
2008,赵世璞,京剧净角
2008,廉月儒,单弦演员
2008,乔志良,黄梅戏导演
2008,黄泰生,泰顺提线木偶戏艺师
2009,邢湘麟,越剧老生
2009,蒋元荣,京剧丑角
2009,张文顺,相声演员
2009,陶世桐,京剧票友
2009,郑文喜,相声演员
2009,吴光辉,八角鼓票友
2010,李少楼,京剧武生
2010,宫粉红,粤剧旦角
2010,李慕良,京剧琴师
2011,马明捷,京剧研究者
2011,石文磊,苏州弹词演员
2011,于光,京剧丑角
2011,袁雪芬,越剧旦角
2011,冯光钰,曲艺音乐工作者
2012,郝德元,京剧票友
2013,易征祥,川剧小生
2013,柯亭,京剧票友
2013,王平,相声演员
2013,何立增,曲艺四胡琴师
2013,李飞龙,粤剧小生
2013,马敬伯,相声演员
2013,刘鸣洲,京剧丑角
2013,张慧声,苏州评弹弹词演员
2013,陈鹤鸣,曲艺乐师
2014,章宗义,绍剧武生
2014,裘云飞,越剧舞美设计师
2014,曹强,太原莲花落演员
2015,陈希曾,京剧老生票友
2015,隆学义,川剧剧作家
2015,单冬阳,抚州采茶戏丑角
2015,何文基,京剧
2015,袁阔成,评书演员
2015,马崇仁,京剧净角
2016,霍林,豫剧剧作者
2016,张德武,相声演员
2016,童庆礽,赣剧小生
2016,马跃,曲艺演员
2016,倪钟之,曲艺理论家
2016,许金彩,越剧花旦
2016,薛宝琨,曲艺理论家
2016,齐和昌,京剧武生
2017,马增寿,京剧丑角
2017,曹天社,豫剧须生
2017,徐勍,评书演员
1895,方镇泉,京剧净角
1918,许荫棠,京剧老生
1918,路三宝,京剧花旦
1919,张福元,京剧丑角
1921,张玉桐,河北梆子青衣
1922,何月山,京剧武生
1922,恩禹之,京剧票友
1924,春觉生,京剧票友
1926,乔荩臣,京剧票友
1928,云飘香,京剧花旦
1930,艾云飞,京剧武丑
1930,松介眉,京剧票友
1936,盛庆玉,昆曲架子花脸
1944,朱桂芳,京剧武旦
1945,金仲荪,京剧剧作家
1947,张荣奎,京剧老生
1955,张春彦,京剧老生
1959,白家麟,京剧文武老生
1962,齐如山,京剧剧作家
1963,张桂轩,京剧武生
1964,刘喜奎,河北梆子兼京剧旦角
1970,唐韵笙,京剧生角
1973,李惠仙,川剧旦角
1977,谭富英,京剧老生
1984,徐丽仙,苏州弹词演员
1984,陈世鼎,京剧架子花脸
1984,盖玉亭,京剧武生
1984,韩盛信,京剧武净
1986,高世寿,京剧武生
1986,郑大同,京剧程派研究者
1987,江世升,京剧武生
1987,刘阔漳,评书演员
1987,李宝櫆,京剧生角
1989,马连贵,京剧大锣
1992,关肃霜,京剧旦角
1992,侯佑宗,京剧鼓师
1993,高元钧,山东快书演员
1994,宋富亭,京剧武净
1994,陈素真,豫剧旦角
1994,韩德荣,京韵大鼓弦师
1995,程玉菁,京剧旦角
1995,邵传镛,昆曲净角
1996,魏喜奎,奉调大鼓
1996,姚传芗,昆曲旦角
1997,高聘卿,京剧活动家
1999,李荣岩,京剧琴师
2002,关玉峰,京剧丑角
2003,郝艳霞,西河大鼓演员
2003,于世文,京剧老生
2003,齐啸云,京剧净角
2004,贺飞,评剧作曲工作者
2004,马泰,评剧生角
2004,沈玉才,京剧琴师
2004,王茵,京剧旦角
2005,花淑兰,评剧旦角
2005,于宝林,相声演员
2005,胡沙,戏剧剧作家
2006,新韵霞,铁片大鼓演员
2006,笑嘻嘻,滑稽戏演员
2006,赵学义,京韵大鼓演员
2007,魏小云,越剧丑角
2007,厉慧敏,京剧旦角
2007,曹啸君,苏州弹词演员
2007,刘小楼,评剧小生
2007,梁慧超,京剧武生
2008,陈郑煊,闽南皮影戏艺师
2008,张德华,京剧净角
2008,王思及,京剧教师
2008,周柏春,滑稽戏演员
2009,连笑昆,相声演员
2009,王玉琴,秦腔旦角
2009,张春奎,相声演员
2010,李嘉林,京剧净角
2011,小王桂卿,京剧武生
2011,朱少云,京剧小生
2011,卢宝全,京韵大鼓弦师
2011,杨金凤,秦腔旦角
2011,丁文元,相声演员
2011,康晓虎,昆曲
2011,高一帆,京剧小生
2012,潘庆武,相声演员
2012,吴媚媚,滑稽戏演员
2012,梅兰珍,锡剧旦角
2012,张桂凤,越剧老生
2012,甄建华,京剧老生
2012,屠笑飞,越剧丑角
2013,华国荫,苏州弹词演员
2013,王荫秋,苏州弹词演员
2013,毛剑鹏,苏州评话演员
2014,屠世冲,绍剧武生
2014,赵俊良,曲艺演员
2014,刘文亮,歌仔戏音乐创作者
2014,许爱茹,扬剧旦角
2014,夏晓华,东北大鼓演员
2014,姬少戎,京剧净角
2014,张显锋,川剧民间艺人
2014,张通金,川剧武小生
2014,李明华,川剧旦角
2014,陈正柱,京剧丑角
2014,梁庆云,京剧老生
2014,李桐春,京剧武生
2015,笑林,相声演员
2015,胡发生,豫剧须生
2015,赵士良,京剧教师
2015,田文善,京剧净角
2016,崔兰玉,豫剧旦角
2016,可军,相声演员
2016,吴素秋,京剧旦角
2017,李文山,相声演员
2017,李德彬,京剧小生
2017,濮玉清,扬剧老生
2017,董铁良,相声演员
1885,樊景泰,京剧琴师
1917,谭鑫培,京剧老生
1918,刘春喜,京剧老生
1927,方秉忠,京剧笛师
1931,何佩亭,京剧武净
1936,孙佐臣,京剧琴师
1951,常宝堃,相声演员
1964,马师曾,粤剧丑生
1964,李德山,京剧琴师
1967,萧长华,京剧丑角
1968,严凤英,黄梅戏旦角
1968,高永琦,京剧老生
1971,朱斌仙,京剧丑角
1973,白玉珍,昆曲净角
1976,尚小云,京剧旦角
1977,俞大纲,京剧剧作家
1982,裘世戎,京剧净角
1983,严雪亭,苏州评弹弹词演员
1984,方传芸,昆曲旦角
1984,耿世忠,京剧老生
1986,罗荣庭,京剧老生
1986,孙盛武,京剧丑角
1989,方荣翔,京剧净角
1989,石筱英,沪剧旦角
1990,李洪春,京剧红生
1994,沈传芷,昆曲演员
1995,六岁红,评剧旦角
1996,张世麟,京剧武生
1996,俞大陆,京剧武生
1997,新马师曾,粤剧文武生
1998,新凤霞,评剧青衣
1998,魏莲芳,京剧旦角
2001,叶景林,评书演员
2001,袁金绵,京剧武净
2001,胡少安,京剧老生
2002,李丽芳,京剧旦角
2002,骆玉笙,京韵大鼓演员
2003,崔兰田,豫剧旦角
2003,吴祖光,戏剧剧作者
2003,王传蕖,昆曲旦角
2004,袁韵宜,京剧剧作家
2005,罗兰梅,豫剧旦角
2005,刘美娟,京剧旦角
2007,顾兆琪,昆曲笛师
2007,楼敦传,婺剧作曲家
2007,赵世忠,相声演员
2008,赓金群,京剧鼓师
2008,吴君玉,苏州评话演员
2008,孔幼平,南京评话演员
2009,叶绍德,粤剧编剧家
2009,唐耿良,苏州评话演员
2011,陈鸣志,相声演员
2011,富淑媛,京韵大鼓演员
2011,刘淑萍,评剧旦角
2011,刘英男,相声史论研究者
2011,何顺信,京剧琴师
2011,李继宗,评剧小生
2011,周瑞深,昆曲曲家
2012,柳萱图,昆曲度曲家
2013,白英杰,相声演员
2013,王冠亚,黄梅戏编剧
2013,张国良,苏州评话演员
2013,蒋慕萍,京剧老生
2013,贾连芳,西河大鼓演员
2014,宋昌林,京剧净角
2014,王双柏,滑稽戏演员
2014,武正霜,京剧旦角
2014,陆恺章,京剧票友
2015,何冠奇,京剧编导
2015,左胜利,黄梅戏丑角
2015,苏文茂,相声演员
2015,白奉霖,曲艺音乐家
2015,辛克正,相声演员
2016,新岚云,京韵大鼓演员
2016,刘绿萍,杭剧旦角
2016,吴雅童,锡剧小生
2016,阚永生,京剧琴师
2016,罗家宝,粤剧小生
2016,梅葆玖,京剧旦角
2016,严燕君,苏州弹词演员
2017,齐晓春,秦腔须生
2017,徐玉兰,越剧小生
1888,贾祥瑞,京剧琴师
1923,茹莱卿,京剧武生
1923,韩玉春,京剧丑角
1931,顾传琳,昆曲小生
1931,田桂凤,京剧花旦
1943,余叔岩,京剧老生
1947,汪润泉,滇剧小生
1960,殷震贤,昆曲名票
1962,李桂春,京剧老生
1963,刘砚芳,京剧老生
1966,郭三增,京剧武生
1968,竺水招,越剧小生
1977,周传铮,昆曲净角
1977,孟小冬,京剧老生
1987,王传淞,昆曲演员
1987,谭世英,京剧净角
1989,丁至云,京剧旦角
1989,马飞,潮剧导演
1990,荀令莱,京剧旦角
1990,厉慧兰,京剧老生
1992,李忆兰,评剧旦角
1993,白全福,相声演员
1994,周明泰,戏曲研究家
1994,江世玉,京剧小生
1994,王玉蓉,京剧旦角
1996,裘少戎,京剧净角
1996,邹功甫,京剧老生
1997,汪曾祺,戏曲作家
1997,张君秋,京剧旦角
1999,宋桂玲,豫剧旦角
2000,曹汉昌,苏州评话演员
2000,程正泰,京剧老生
2000,梅葆玥,京剧老生
2001,庞贵生,八角鼓票友
2001,梁左,相声创作者
2003,刘云亭,西河大鼓演员
2003,杜奎三,京剧琴师
2004,孙岳,京剧老生
2004,冯宝华,相声演员
2004,常香玉,豫剧旦角
2005,金幼实,相声演员
2005,李世章,京剧老生
2005,张鸣禄,京剧演员
2005,张世年,京剧丑角
2005,高美芬,京剧活动家
2006,孔雀屏,粤剧旦角
2007,赵永泉,京剧净角
2007,刘艳霞,梅花大鼓演员
2007,王荣增,京剧老生
2007,杨企雯,锡剧旦角
2008,杨振言,苏州弹词演员
2008,杨文镛,京剧票友
2008,白玉薇,京剧旦角
2008,汪庆元,京剧生角
2009,许嘉宝,京剧旦角
2009,魏筱灵,粤剧旦角
2009,李文华,相声演员
2009,郝聘芝,上党梆子旦角
2010,徐天红,越剧老生
2010,新谷莺,京剧旦角
2010,周仲春,京剧武生
2011,虞化龙,京剧琴师
2011,张昆吾,曲艺理论家
2012,李广伯,京剧琴师
2012,王世霞,京剧小生
2013,邹忠新,金钱板演员
2013,李志良,京剧琴师
2013,胡国梁,苏州弹词演员
2013,张方平,秦腔须生
2013,董湘昆,京东大鼓演员
2014,朱石凤,莆仙戏旦角
2014,沐居容,京剧琴师
2014,何恕,京剧票友
2014,吴小如,京剧史论工作者
2014,胡启明,京剧琴师
2014,沈孝昌,昆曲曲友
2014,绿杨,滑稽戏演员
2015,张春秋,京剧旦角
2015,程玉英,晋剧青衣
2015,李宝琴,泗州戏旦角
2015,林金培,京剧老生
2015,田有仓,西河大鼓演员
2015,孙砚琴,北京曲剧演员
2015,刘宗琴,河南坠子演员
2016,李世济,京剧青衣
2016,刘小琴,闽剧旦角
2016,陈小汉,粤剧文武生演员
2016,王金璐,京剧武生
2017,刘嘉昌,梅花大鼓演员
2017,张奎清,相声演员
1889,程章圃,京剧鼓师
1900,时小福,京剧青衣
1908,汪桂芬,京剧老生
1922,孙培亭,河北梆子老生
1923,耿百岁,京剧丑角
1928,谭嘉祥,京剧武旦
1932,龚云甫,京剧老旦
1935,侯峻山,山西梆子
1936,刘盛莲,京剧花旦
1937,张采林,京剧小生
1939,余玉琴,京剧花旦
1942,言菊朋,京剧老生
1942,程继先,京剧小生
1944,孙怡云,京剧青衣
1953,王文鹏,秦腔须生
1954,王瑶卿,京剧青衣
1954,筱桂花,晋剧旦角
1958,王少卿,京剧琴师
1967,司徒慧聪,川剧生角
1968,白玉琼,川剧旦角
1971,许翰英,京剧旦角
1973,赵培鑫,京剧老生
1978,叶盛兰,京剧小生
1981,侯永奎,北方昆曲演员
1983,洛汀,京剧
1985,孙柏龄,京剧老生
1987,储金鹏,京剧小生
1987,王泉奎,京剧净角
1988,叶龙章,京剧组织工作者
1989,刘盛通,京剧老生
1993,张光茹,川剧旦角
1993,郑奕奏,闽剧旦角
1993,醉丽君,京剧旦角
1993,俞振飞,京剧
1994,翁偶虹,京剧编剧
1995,哈元章,京剧老生
1996,郑传鉴,昆曲老生
1998,牛得草,豫剧丑角
1999,汪健君,昆曲度曲家
2000,李广仁,京剧净角
2002,刘梓钰,相声史论研究者
2003,马益长,京剧武丑
2003,顾锡东,戏剧作家
2004,桑振君,豫剧旦角
2004,郭全宝,相声演员
2005,段丽君,京剧旦角
2006,来宝刚,快板演员
2006,陈琦,越剧小生
2006,张成全,相声
2006,赵书勤,川剧武生
2007,侯耀文,相声演员
2007,唐在炘,京剧琴师
2007,朱玉安,京剧丑角
2007,郑盛芗,京剧小生
2008,刘德一,川剧丑角
2009,于质彬,京剧史家
2009,关翠兰,梅花大鼓演员
2009,王志涛,相声演员
2009,杨兰春,豫剧编剧
2009,张美琴,晋剧须生
2010,郭云涛,京剧老生
2011,陈四文,潮汕讲古演员
2011,李慧芳,京剧旦角
2011,曹世嘉,京剧老生
2012,白玉艳,京剧旦角
2012,何玉蓉,京剧老生
2012,耿慧敏,京剧琴师
2012,范石人,京剧票友
2012,张玉兆,河北梆子鼓师
2012,沈宝桢,京剧武生
2012,刘曾复,京剧史论研究者
2012,周金莲,京剧旦角
2012,杨观复,沪剧导演
2013,詹剑峰,闽剧小生
2013,刘建元,京剧净角
2013,牛桂英,晋剧旦角
2013,李阳鸣,京剧武生
2013,郑永蘅,京剧旦角
2013,邵怀民,昆曲票友
2013,张志奎,河北梆子武丑
2013,武正豪,京剧老生
2013,顾永湘,京剧琴师
2013,常贵祥,京剧武丑
2013,李世荣,京剧琴师
2014,郭仲英,京剧旦角
2014,王超群,京剧武生
2014,梁国英,淮剧旦角
2014,程永江,京剧史论研究者
2014,王家熙,京剧评论家
2014,王亨恺,昆曲小生
2015,秦中英,粤剧编剧
2016,黄铁良,相声演员
1866,余三胜,京剧老生
1885,王九龄,京剧老生
1890,杨月楼,京剧武生
1895,钱宝峰,京剧净角
1920,徐宝芳,京剧小生
1922,陆金桂,京剧丑角
1928,刘昭容,京剧花旦
1929,乔蕙兰,昆曲旦角
1930,朱素云,京剧小生
1931,孙菊仙,京剧老生
1931,李佩卿,京剧旦角
1931,陈啸云,京剧青衣
1932,范福泰,京剧武净
1934,孙仁玉,秦腔剧作者
1934,傅小山,京剧武丑
1936,茹锡九,京剧武生
1939,阎岚秋,京剧武旦
1941,刘翠霞,评剧旦角
1942,白玉霜,评剧旦角
1950,爱新觉罗·溥侗,京剧票友
1951,刘广文,相声演员
1955,尤彩云,昆剧演员
1961,田瑞庭,昆曲笛师
1961,梅兰芳,京剧旦角
1967,陈少霖,京剧老生
1969,贯大元,京剧老生
1970,张寿臣,相声演员
1971,潘鼎新,京剧老生
1971,连阔如,评书演员
1972,姜妙香,京剧小生
1972,固桐晟,评书演员
1974,李多奎,京剧老旦
1974,封至模,秦腔剧作家
1979,李世源,京剧老生
1980,张玉贵,宁夏小曲演员
1982,刘毓中,秦腔生角
1983,史若虚,戏曲教育家
1984,宋德珠,京剧武旦
1986,王少舫,黄梅戏小生
1990,李小春,京剧武生
1993,鲜灵霞,评剧旦角
1994,杨荣环,京剧旦角
1995,童芷苓,京剧旦角
1995,申凤梅,河南越调生角
1996,阎立品,豫剧旦角
1998,阎世喜,京剧丑角
1999,黄元庆,京剧武生
2000,陈宪章,豫剧编导
2000,赵丽蓉,评剧旦角
2002,刘洪元,单弦名票
2003,孙玉奎,相声演员
2003,马宗慧,京剧旦角
2003,韩少云,评剧旦角
2004,张永贤,京剧净角
2004,夏雨田,相声演员
2004,李环春,京剧武生
2005,鲍绮瑜,京剧旦角
2005,杨兆利,河北梆子演员
2005,秋楚笙,京剧演员
2005,张二鹏,京剧武生
2006,柯立正,潮剧丑角
2006,黄金璧,京剧武生
2007,倪海天,京剧武生
2007,白文彪,粤剧演员
2007,邵滨孙,沪剧生角
2007,杨兴,秦腔编剧
2007,董长禄,相声演员
2007,陈学礼,南管艺人
