剧目,二黄原板,二黄慢板,二黄导板,二黄散板,二黄摇板,二黄平板,反二黄原板,反二黄慢板,反二黄导板,反二黄散板,反二黄摇板,西皮原板,西皮慢板,西皮导板,西皮散板,西皮摇板,西皮快三眼,西皮二六,西皮流水,西皮快板,反西皮二六,反西皮散板,反西皮摇板
空城计,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,12,0,1,0,1,0,0,
洪羊洞,7,2,2,0,33,0,0,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,
三娘教子,14,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
乌盆计【后本】,7,5,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
打鼓骂曹,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,19,0,7,0,22,0,0,
捉放曹,2,1,1,0,5,0,0,0,0,0,0,2,2,1,0,44,0,2,3,10,0,0,
桑园寄子,7,2,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
取成都,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,51,0,2,0,6,0,0,
硃砂痣,11,3,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
黄金台,1,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
文昭关,6,1,1,0,4,0,0,0,0,0,0,3,0,0,0,4,0,1,2,4,0,0,
黄鹤楼,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,30,0,0,4,2,0,0,
天水关,10,1,0,0,5,0,0,0,0,0,0,3,3,3,0,34,0,0,1,5,0,0,
七星灯,8,3,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
战北原,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,12,0,1,0,5,0,0,
牧羊卷,0,1,2,0,4,0,0,1,0,0,0,5,7,1,0,5,0,2,0,0,0,0,
清官册,8,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
双狮图,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
