Author,year,Number,meanIF,medianIF,sdIF
Bao-Shilai,2010,2,4.258,4.258,0
Bao-Shilai,2011,2,8.9805,8.9805,0.625789501350094
Bao-Shilai,2012,3,6.90533333333333,6.263,4.65386552591857
Bao-Shilai,2013,1,3.057,3.057,NA
Bao-Shilai,2014,2,5.678,5.678,0.29698484809835
Bao-Shilai,2015,5,4.634,4.985,0.762039697128699
Bao-Shilai,2016,1,3.981,3.981,NA
Bao-Shilai,2017,2,7.4005,7.4005,2.86024692989958
Cao-Xiaofeng,2010,5,8.2076,9.423,4.81757992149585
Cao-Xiaofeng,2011,5,10.8778,6.661,11.7787275925713
Cao-Xiaofeng,2012,7,5.53614285714286,5.468,2.23305541270038
Cao-Xiaofeng,2013,7,10.202,8.538,8.37822584640289
Cao-Xiaofeng,2014,7,12.9708571428571,9.423,11.231925679784
Cao-Xiaofeng,2015,3,9.79133333333333,8.282,4.46176213320851
Cao-Xiaofeng,2016,11,11.2829090909091,8.282,10.3091994980653
Cao-Xiaofeng,2017,5,5.9576,6.78,2.21220677152928
Chen-Bing,2010,11,4.18563636363636,3.777,2.28538466227142
Chen-Bing,2011,8,7.401375,8.387,2.00727334158982
Chen-Bing,2012,6,6.22466666666667,7.1445,2.6281871064798
Chen-Bing,2013,7,6.51942857142857,8.387,3.2324212729337
Chen-Bing,2014,9,5.32833333333333,4.71,2.53545000936717
Chen-Bing,2015,9,5.59088888888889,7.145,2.74562563200286
Chen-Bing,2016,10,5.1739,5.05,2.4640074607571
Chen-Bing,2017,3,5.867,5.228,1.10678046603651
Chen-Fan,2010,3,2.974,3.016,0.568165468855685
Chen-Fan,2011,5,7.1578,6.28,2.9687128860838
Chen-Fan,2012,6,4.91616666666667,3.4965,2.84725758698904
Chen-Fan,2013,1,43.113,43.113,NA
Chen-Fan,2014,2,4.569,4.569,1.27137799257341
Chen-Fan,2015,5,6.1012,5.468,2.05303791976671
Chen-Fan,2016,2,4.295,4.295,1.3194612536941
Chen-Liangbiao,2010,8,3.84025,3.344,2.38803061418519
Chen-Liangbiao,2011,3,2.92733333333333,3.057,1.01075730684143
Chen-Liangbiao,2012,2,3.6935,3.6935,0.406586399182265
Chen-Liangbiao,2013,1,1.907,1.907,NA
Chen-Liangbiao,2014,2,3.176,3.176,1.13844191771034
Chen-Liangbiao,2015,1,9.202,9.202,NA
Chen-Liangbiao,2016,1,11.329,11.329,NA
Chen-Mingsheng,2010,6,7.44683333333333,5.874,5.09628305401757
Chen-Mingsheng,2011,1,4.145,4.145,NA
Chen-Mingsheng,2012,2,3.057,3.057,0
Chen-Mingsheng,2013,1,11.329,11.329,NA
Chen-Mingsheng,2014,4,13.4885,9.2355,12.4648976596949
Chen-Mingsheng,2015,2,5.5045,5.5045,2.31577470838594
Chen-Mingsheng,2016,3,7.15866666666667,6.28,3.80780807464522
Chen-Shou-Yi,2010,3,3.68,3.239,1.61335581940253
Chen-Shou-Yi,2011,6,4.14083333333333,4.5495,1.84297427184067
Chen-Shou-Yi,2012,2,7.796,7.796,2.30092546598103
Chen-Shou-Yi,2013,5,5.9606,6.28,1.4770865919099
Chen-Shou-Yi,2014,3,4.641,3.631,1.74937131564457
Chen-Shou-Yi,2015,11,6.20081818181818,5.677,1.5747553345318
Chen-Shou-Yi,2016,3,5.946,5.468,1.04269458615646
Chen-Shouyi,2010,1,8.538,8.538,NA
Chen-Shouyi,2011,3,2.34166666666667,1.618,1.35512816122068
Chen-Shouyi,2012,3,3.85233333333333,3.9,1.43909219069986
Chen-Shouyi,2013,2,3.987,3.987,1.31521861300698
Chen-Shouyi,2014,4,2.482,2.3375,1.04827890690725
Chen-Shouyi,2016,3,3.868,3.406,2.03080378175736
Chen-Shouyi,2017,1,5.468,5.468,NA
Cheng-Zhukuan,2010,6,5.35133333333333,4.4735,1.85607226870795
Cheng-Zhukuan,2011,9,6.41511111111111,5.468,3.48054357983219
Cheng-Zhukuan,2012,11,9.698,6.661,9.94551485846761
Cheng-Zhukuan,2013,7,5.678,6.169,1.90702735516126
Cheng-Zhukuan,2014,7,4.56242857142857,4.495,1.20465733124166
Cheng-Zhukuan,2015,2,4.367,4.367,1.85261976670875
Cheng-Zhukuan,2016,9,6.28577777777778,6.28,2.09553178082425
Chu-Chengcai,2010,5,6.2574,3.817,4.84633581172415
Chu-Chengcai,2011,11,3.87863636363636,3.905,1.72816447554781
Chu-Chengcai,2012,10,6.0938,5.874,2.1695190352805
Chu-Chengcai,2013,5,5.8626,5.468,1.97662358581496
Chu-Chengcai,2014,7,6.16485714285714,6.28,2.33600452543593
