records	Author	journal	year	type	NCR
1	Xu Dan	CELL REPORTS	2014	Article	37
1	Zhang, Feng	CELL REPORTS	2014	Article	37
1	Wang, Yaqing	CELL REPORTS	2014	Article	37
1	Sun, Yiming	CELL REPORTS	2014	Article	37
1	Xu, Zhiheng	CELL REPORTS	2014	Article	37
2	Liu Lijun	MOLECULAR MEDICINE REPORTS	2014	Article	26
2	Yang, Xiangming	MOLECULAR MEDICINE REPORTS	2014	Article	26
2	Ni, Qianwei	MOLECULAR MEDICINE REPORTS	2014	Article	26
2	Xiao, Zhifeng	MOLECULAR MEDICINE REPORTS	2014	Article	26
2	Zhao, Yannan	MOLECULAR MEDICINE REPORTS	2014	Article	26
2	Han, Jin	MOLECULAR MEDICINE REPORTS	2014	Article	26
2	Sun, Moyi	MOLECULAR MEDICINE REPORTS	2014	Article	26
2	Chen, Bing	MOLECULAR MEDICINE REPORTS	2014	Article	26
3	Yang Yuping	INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE	2014	Article	26
3	Yu, Kaichao	INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE	2014	Article	26
3	Zhang, Hailu	INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE	2014	Article	26
3	Dai, Jianwu	INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE	2014	Article	26
3	Deng, Zongwu	INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE	2014	Article	26
4	Huang Shengjian	JOURNAL OF GENETICS AND GENOMICS	2014	Article	36
4	Cai, Ming	JOURNAL OF GENETICS AND GENOMICS	2014	Article	36
4	Zheng, Yinghui	JOURNAL OF GENETICS AND GENOMICS	2014	Article	36
4	Zhou, Longhai	JOURNAL OF GENETICS AND GENOMICS	2014	Article	36
4	Wang, Qiang	JOURNAL OF GENETICS AND GENOMICS	2014	Article	36
4	Chen, Liangbiao	JOURNAL OF GENETICS AND GENOMICS	2014	Article	36
